stop_id,near_campus,dist_to_campus_m
769,True,1360.4
424,False,4035.4
1381,False,4041.9
1543,False,2029.8
1620,False,6066.2
327,False,4078.8
463,True,31.8
423,False,4033.0
407,False,6922.2
557,False,2303.2
421,False,4061.8
238,False,4136.5
680,True,1130.6
699,True,1491.8
484,True,25.8
412,False,5908.2
1273,True,821.7
1478,False,5513.3
850,True,1534.6
1378,False,3881.6
7,True,402.5
221,False,2097.8
113,False,2829.5
252,False,2429.1
520,False,6634.8
242,False,3046.1
608,False,1655.1
1168,False,5797.0
602,False,2270.3
450,True,703.3
993,False,5048.2
125,False,3392.8
1594,False,3554.7
285,True,900.3
630,False,2287.3
1102,False,4802.6
87,False,3374.6
1486,True,659.2
92,False,2923.4
1454,False,1830.0
700,True,1585.8
368,True,1339.0
258,False,3430.8
505,False,2477.0
1264,True,1172.7
745,False,1891.8
1010,False,5058.2
90,False,3221.9
420,False,4168.0
596,False,3580.9
422,False,4037.8
1498,False,2037.2
483,True,27.4
382,False,3734.0
1234,True,963.5
205,True,898.4
776,False,2119.7
846,True,0.0
1317,True,1558.4
661,True,1387.8
1104,False,4723.8
568,True,1241.1
406,False,6590.6
1176,True,0.0
489,True,28.1
511,False,3578.5
325,False,4146.9
124,False,3207.2
1557,True,824.3
1499,False,2007.1
1236,False,2281.0
428,False,3684.2
579,False,1693.1
122,False,2947.2
297,False,2860.2
416,False,5538.0
556,False,2248.9
451,True,705.8
135,False,1865.0
986,False,3450.9
790,True,648.8
335,False,4486.1
1069,False,4646.3
535,False,2451.5
1556,True,835.6
554,False,1896.7
1329,False,1833.6
315,False,4492.4
128,False,3108.4
1560,False,4123.7
1392,False,3050.7
403,False,6052.9
857,False,1812.6
1019,False,2941.0
379,False,3471.7
833,True,1114.0
1479,False,5693.2
1628,False,2304.8
462,True,6.0
1393,False,3285.9
460,True,10.5
1503,True,581.0
1169,False,5883.9
570,True,1323.9
754,True,641.7
61,False,1854.2
587,False,2384.6
1118,False,5563.4
1384,False,4482.2
55,True,766.7
1034,False,3642.3
1542,True,489.3
326,False,4130.6
590,False,3392.6
13,True,0.0
764,False,1796.0
813,True,952.0
983,False,2777.5
448,True,504.6
342,False,3061.2
1395,False,3057.0
482,True,5.1
1428,False,3236.2
1439,False,1767.0
795,True,675.8
6,True,531.2
394,False,5562.7
1043,False,5688.0
1502,True,586.0
419,False,4236.1
380,False,3726.9
316,False,4593.1
346,False,2089.1
398,False,5679.1
427,False,3746.0
682,True,1153.7
162,True,1258.4
1396,False,2980.3
714,True,661.5
409,False,6335.9
381,False,3739.2
174,False,3544.2
1440,False,1765.9
529,False,3561.3
188,True,803.6
228,False,3039.2
389,False,4256.4
84,False,3108.1
1505,True,793.2
308,False,3077.8
1001,False,6570.8
461,True,9.3
909,False,1823.6
390,False,4264.4
1004,False,6864.2
488,True,29.7
560,False,1932.7
695,True,287.1
1394,False,3302.6
277,False,2169.3
947,True,785.5
429,False,3423.9
856,False,2008.4
585,False,2242.5
1379,False,3705.6
978,False,2009.4
4,True,793.4
334,False,4573.0
829,False,2308.4
1002,False,6555.0
581,False,1932.6
801,True,0.0
1124,False,3643.6
723,False,1932.1
701,False,1738.5
910,False,2017.5
913,False,2496.2
306,False,2173.8
627,False,1971.8
418,False,4502.9
1049,False,4847.4
426,False,3759.0
818,False,2284.2
853,False,2519.6
1240,False,1966.1
945,True,968.8
