stop_id,stop_name,stop_lat,stop_lon,routes,daily_trips,mean_lst_c,pct_green,pct_no_vehicle,pct_65_plus,shelter_status,lst_percentile,shelter_factor,social_vulnerability,shade_need,shade_need_rank,top20_shade_need
149,West Univ Avenue @ NW 17th Street,29.652158,-82.344574,"5,43",34,42.77614397321429,16.8,6.52607580507267,9.155578975102095,none,0.941031941031941,1.5,0.6205032915387877,0.7287,75,False
546,NW 16th Ave @ NW 13th St,29.6665645,-82.3402284,10,20,45.22419569227431,21.3,6.52607580507267,9.155578975102095,none,0.9938574938574939,1.5,0.6205032915387877,0.728,76,False
468,Parking & Transportation Services,29.639791,-82.350387,"9,12,33",153,39.333231608072914,19.8,30.48780487804878,0.0114639458901753,none,0.6793611793611793,1.5,0.8784434820109817,0.7179,77,False
60,SE 4th Street @ SE 10th Avenue,29.641666,-82.319959,"7,17",38,39.86144670758929,38.9,12.61942675159236,21.483491632745363,none,0.7432432432432432,1.5,1.0450941088021732,0.7119,78,False
1555,Marshall's @ Plaza Blvd,29.627726,-82.383254,33,61,41.95450592041016,5.8,15.617875056999544,3.28125,unknown,0.9152334152334153,1.25,0.659457471171747,0.7107,79,False
136,SE 4th Street @ SE 10th Ave,29.641648,-82.319843,"7,17",38,40.01579284667969,40.7,12.61942675159236,21.483491632745363,none,0.7628992628992629,1.5,1.0450941088021732,0.7092,80,False
44,Frazier Rogers Hall (Eastbound),29.644771,-82.345681,"1,8,20,21,37,43,52",229,41.37470354352679,39.2,30.48780487804878,0.0114639458901753,none,0.8783783783783784,1.5,0.8784434820109817,0.7037,81,False
295,Williams Elementary School,29.645722,-82.308078,3,14,41.18781812263258,37.9,12.61942675159236,21.483491632745363,unknown,0.8636363636363636,1.25,1.0450941088021732,0.7006,82,False
727,Oasis Carwash,29.688606,-82.327849,15,23,38.6802547679228,32.6,11.592076302274394,26.838966202783297,none,0.597051597051597,1.5,1.1556368975586597,0.6976,83,False
260,Auto Zone @ NW 13th Street,29.689456,-82.338859,6,14,39.66278435202206,33.3,11.592076302274394,26.838966202783297,unknown,0.7235872235872236,1.25,1.1556368975586597,0.6972,84,False
3,Westbound SW 2nd Avenue @ SW 2nd Street,29.650397,-82.326459,1,42,39.08216768152573,12.9,10.72961373390558,13.34805299076676,none,0.6572481572481572,1.5,0.8077673645254027,0.6936,85,False
1206,Arlington Square Apartments,29.649517,-82.322302,"1,5,10,11,15",122,41.00189732142857,33.5,10.72961373390558,13.34805299076676,none,0.8574938574938575,1.5,0.8077673645254027,0.6909,86,False
200,Anderson Hall,29.652,-82.34201,"5,43",34,42.40445709228516,44.4,30.48780487804878,0.0114639458901753,none,0.9312039312039312,1.5,0.8784434820109817,0.6822,87,False
363,SW 13th Street & W University Avenue,29.651483,-82.339199,"8,13",76,41.72251510620117,31.4,21.14384748700173,1.9492808478425436,none,0.8968058968058968,1.5,0.7379744271417619,0.681,88,False
207,Alachua County Office of the State Attorney,29.651862,-82.326017,"5,10",40,38.66083441840278,5.1,10.72961373390558,13.34805299076676,none,0.5896805896805897,1.5,0.8077673645254027,0.678,89,False
343,Dollar General,29.645231,-82.293693,7,14,39.696400669642856,32.1,20.242214532871973,17.217034843999087,unknown,0.726044226044226,1.25,1.093892743372281,0.6741,90,False
1380,Westbound NW 39th AVE @ NW 7th ST,29.688639,-82.332443,55,9,39.37516043526786,43.5,11.592076302274394,26.838966202783297,none,0.6842751842751843,1.5,1.1556368975586597,0.6702,91,False
1610,Jonesville Publix,29.655092,-82.492428,52,24,40.92791922433036,22.4,5.470500373412994,18.014849550605703,unknown,0.8439803439803439,1.25,0.8163199478354465,0.6683,92,False
512,Northwest Baptist Church,29.6742,-82.402283,"10,76",29,39.40357840401786,50.8,17.254556143445033,28.263455248290214,none,0.6891891891891891,1.5,1.3044316816922739,0.6635,93,False
679,Meridian Behavioral Healthcare,29.613399,-82.341148,13,62,39.02451869419643,45.5,12.026726057906458,40.537989617744216,unknown,0.644963144963145,1.25,1.5,0.6591,94,False
237,Sandy's Boutique,29.691988,-82.339157,6,14,40.25227399553572,18.9,5.620753551575047,12.678288431061809,none,0.7862407862407862,1.5,0.6885985563917822,0.6586,95,False
838,34th St Plaza,29.634039,-82.375158,"20,21",90,44.17249930245536,31.9,15.617875056999544,3.28125,none,0.9754299754299754,1.5,0.659457471171747,0.6571,96,False
226,Oak Gate Apartments,29.6787889,-82.3306919,55,9,40.65239800347222,54.0,11.592076302274394,26.838966202783297,none,0.8218673218673219,1.5,1.1556368975586597,0.6553,97,False
1325,Division of Blind Services,29.686504,-82.389063,43,14,40.42405482700893,58.2,17.254556143445033,28.263455248290214,none,0.7997542997542998,1.5,1.3044316816922739,0.6541,98,False
