stop_id,stop_name,stop_lat,stop_lon,daily_trips,routes,shelter_status,tract_geoid,pct_no_vehicle,pct_65_plus
806,Southwest Recreation Center,29.638113,-82.369364,61,20,none,12001000901,49.789029535864984,0.0
167,SunTrust Bank @ Newberry Road,29.658334,-82.396898,20,5,unknown,12001001605,5.992043759323719,8.548422678138099
422,Uptown Village Apartments,29.688411,-82.35714,26,"8,55",sheltered,12001001202,0.5906123717749456,16.054477919933966
719,Village Green Apartments,29.683444,-82.30573,36,"15,26",none,12001000400,18.240068346860316,13.6077655941039
294,Tools for Schools,29.645728,-82.310869,14,3,unknown,12001000700,12.619426751592359,21.483491632745363
404,Pine Ridge Apartments,29.707734,-82.357905,16,8,unknown,12001001803,5.032119914346895,22.788033099936346
8,Courtyard Apartments,29.6495614,-82.3371876,0,,unknown,12001000201,21.143847487001732,1.9492808478425434
480,Mt Vernon Apartments,29.635714,-82.358907,92,"9,12",unknown,12001001514,8.333333333333332,2.7532467532467533
878,Ironwood Golf Course,29.687791,-82.29661,13,26,none,12001000400,18.240068346860316,13.6077655941039
378,Misty Oaks Apartments,29.68161,-82.351504,16,8,none,12001001203,5.620753551575047,12.678288431061807
357,SE 7th Avenue @ SE 10th Terrace,29.645856,-82.312451,14,3,unknown,12001000700,12.619426751592359,21.483491632745363
412,Northwood Pines Neighborhood,29.705193,-82.359716,31,"6,8",none,12001001803,5.032119914346895,22.788033099936346
250,Gainesville High School Tennis Courts,29.666822,-82.343063,20,10,none,12001001100,7.312925170068027,27.624720774385704
713,NE 23rd Avenue @ NE 11th Terrace,29.673758,-82.311133,23,15,unknown,12001000400,18.240068346860316,13.6077655941039
162,Tire Kingdom @ Newberry Road,29.653808,-82.384512,34,"5,43",unknown,12001001605,5.992043759323719,8.548422678138099
1154,Graham Hall,29.6460169,-82.3504445,38,118,none,12001000902,30.48780487804878,0.011463945890175398
1252,Plaza Health and Rehab,29.613287,-82.394175,27,75,sheltered,12001002219,16.47440519105984,14.393255043661549
936,Westgate Plaza,29.650484,-82.370704,20,5,none,12001001000,6.52607580507267,9.155578975102095
564,MLK Center,29.660445,-82.305716,17,11,unknown,12001000600,20.242214532871973,17.217034843999087
376,Cobblestone Apartments,29.678397,-82.349288,16,8,none,12001001203,5.620753551575047,12.678288431061807
177,Durant Estate,29.659434,-82.403171,20,5,none,12001001605,5.992043759323719,8.548422678138099
176,Panera Bread @ Newberry Road,29.659464,-82.407681,29,"5,76",unknown,12001001605,5.992043759323719,8.548422678138099
148,Smathers Library,29.652194,-82.343083,34,"5,43",none,12001001000,6.52607580507267,9.155578975102095
557,Northbound NE 9th Street @ NE 3rd Avenue,29.654205,-82.314684,17,11,unknown,12001000500,10.72961373390558,13.34805299076676
774,Treehouse Village Apartments,29.632727,-82.326077,24,17,unknown,12001000808,7.1806945261918775,3.871439006574142
867,16th Avenue Detailing & Window Tinting (Eastbound),29.666458,-82.310607,14,3,unknown,12001000500,10.72961373390558,13.34805299076676
35,Silver Creek Apartments,29.629078,-82.36817,100,"1,38",sheltered,12001001515,9.413369713506139,5.387755102040816
406,Northbound NW 23rd Terrace @ NW 62nd Avenue,29.711336,-82.360175,16,8,unknown,12001001803,5.032119914346895,22.788033099936346
813,Kensington Apartments North,29.634123,-82.382798,73,"20,52",none,12001001522,15.617875056999544,3.28125
1302,Greenwich Green Apartments,29.617702,-82.374701,52,37,unknown,12001001519,12.811791383219957,0.7092198581560284
1288,Eastbound Newberry Road @ Fort Clarke Boulevard,29.660235,-82.432204,25,23,none,12001002207,0.4123711340206186,18.689934243803744
974,Dollar General,29.614818,-82.371923,85,12,sheltered,12001001517,11.43627262225645,5.445716267776621
1099,SUBWAY@ Newberry RD,29.659774,-82.41348,51,"23,75",none,12001001702,5.506141465480729,33.90179910044978
333,Southbound Se 35th Street @ SE 18th Avenue,29.634792,-82.280864,14,7,unknown,12001000700,12.619426751592359,21.483491632745363
1065,Tower Oaks Glenn Apartments,29.63481,-82.414381,38,"52,75",none,12001002218,15.250836120401337,8.166317678731678
34,Direct Insurance @ Archer Road,29.627581,-82.371198,100,"1,38",none,12001001515,9.413369713506139,5.387755102040816
1407,Eastbound SW 24th AVE @ SW 76th ST,29.630418,-82.423629,21,"52,76",none,12001002221,0.8246527777777778,16.533758639021798
581,Southbound NE 25th Street @ NE 3rd Place,29.654395,-82.292408,17,11,unknown,12001000600,20.242214532871973,17.217034843999087
727,Oasis Carwash,29.688606,-82.327849,23,15,none,12001000302,11.592076302274394,26.838966202783297
